,date,open
0,2013-02-08,27.92
1,2013-02-11,28.26
2,2013-02-12,28.0
3,2013-02-13,28.23
4,2013-02-14,27.765
5,2013-02-15,27.805
6,2013-02-19,27.18
7,2013-02-20,27.3
8,2013-02-21,26.535
9,2013-02-22,26.85
10,2013-02-25,27.2
11,2013-02-26,26.715
12,2013-02-27,26.625
13,2013-02-28,27.325
14,2013-03-01,27.315
15,2013-03-04,27.385
16,2013-03-05,28.0
17,2013-03-06,28.38
18,2013-03-07,28.55
19,2013-03-08,29.335
20,2013-03-11,29.2
21,2013-03-12,29.225
22,2013-03-13,29.165
23,2013-03-14,29.26
24,2013-03-15,28.68
25,2013-03-18,28.53
26,2013-03-19,28.255
27,2013-03-20,28.61
28,2013-03-21,28.65
29,2013-03-22,28.65
30,2013-03-25,28.765
31,2013-03-26,28.495
32,2013-03-27,28.43
33,2013-03-28,28.465
34,2013-04-01,28.565
35,2013-04-02,28.595
36,2013-04-03,29.2
37,2013-04-04,28.805
38,2013-04-05,28.605
39,2013-04-08,28.915
40,2013-04-09,28.98
41,2013-04-10,28.82
42,2013-04-11,28.975
43,2013-04-12,29.355
44,2013-04-15,29.33
45,2013-04-16,28.97
46,2013-04-17,29.015
47,2013-04-18,29.18
48,2013-04-19,28.79
49,2013-04-22,29.21
50,2013-04-23,29.42
51,2013-04-24,29.845
52,2013-04-25,30.0
53,2013-04-26,29.65
54,2013-04-29,30.175
55,2013-04-30,30.315
56,2013-05-01,30.275
57,2013-05-02,30.22
58,2013-05-03,30.425
59,2013-05-06,31.0
60,2013-05-07,31.265
61,2013-05-08,31.17
62,2013-05-09,31.33
63,2013-05-10,31.285
64,2013-05-13,31.6
65,2013-05-14,31.46
66,2013-05-15,31.6592
67,2013-05-16,32.0
68,2013-05-17,31.885
69,2013-05-20,32.015
70,2013-05-21,32.02
71,2013-05-22,32.075
72,2013-05-23,31.845
73,2013-05-24,31.54
74,2013-05-28,32.105
75,2013-05-29,31.895
76,2013-05-30,31.935
77,2013-05-31,31.605
78,2013-06-03,31.63
79,2013-06-04,31.305
80,2013-06-05,31.52
81,2013-06-06,31.175
82,2013-06-07,31.705
83,2013-06-10,32.83
84,2013-06-11,32.735
85,2013-06-12,32.91
86,2013-06-13,32.27
87,2013-06-14,32.975
88,2013-06-17,33.095
89,2013-06-18,33.0
90,2013-06-19,33.51
91,2013-06-20,32.91
92,2013-06-21,32.855
93,2013-06-24,32.0
94,2013-06-25,32.265
95,2013-06-26,32.685
96,2013-06-27,33.135
97,2013-06-28,32.755
98,2013-07-01,33.045
99,2013-07-02,33.12
100,2013-07-03,33.215
101,2013-07-05,33.935
102,2013-07-08,33.97
103,2013-07-09,34.45
104,2013-07-10,33.935
105,2013-07-11,34.34
106,2013-07-12,34.62
107,2013-07-15,34.845
108,2013-07-16,34.82
109,2013-07-17,34.87
110,2013-07-18,34.225
111,2013-07-19,34.285
112,2013-07-22,34.54
113,2013-07-23,34.62
